,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
38,Alejandro Balde,es ESP,DF,Barcelona,19-057,2003,12,12,968,10.8,0,3,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28
39,Mikel Balenziaga,es ESP,DF,Athletic Club,34-288,1988,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
40,Iván Balliu,al ALB,DF,Rayo Vallecano,30-347,1992,14,14,"1,260",14.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
41,Léo Baptistão,br BRA,"FW,MF",Almería,30-110,1992,11,8,564,6.3,2,1,2,0,0,3,0,0.32,0.16,0.48,0.32,0.48
42,Keidi Bare,al ALB,MF,Espanyol,25-108,1997,11,3,330,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
43,Kike Barja,es ESP,"MF,FW",Osasuna,25-257,1997,7,3,287,3.2,1,0,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31
44,Ander Barrenetxea,es ESP,FW,Real Sociedad,20-352,2001,4,0,62,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
45,Pablo Barrios,es ESP,MF,Atlético Madrid,19-182,2003,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
46,Rodrigo Battaglia,ar ARG,MF,Mallorca,31-155,1991,11,7,592,6.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
47,Bebé,cv CPV,FW,Rayo Vallecano,32-155,1990,4,0,60,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
48,Héctor Bellerín,es ESP,DF,Barcelona,27-270,1995,3,1,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
49,Fran Beltrán,es ESP,MF,Celta Vigo,23-314,1999,14,13,"1,123",12.5,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08
50,Karim Benzema,fr FRA,FW,Real Madrid,34-360,1987,7,7,627,7.0,5,1,4,1,2,0,0,0.72,0.14,0.86,0.57,0.72
51,,,,,,,,,,,,,,,,,,,,,,
52,Yuri Berchiche,es ESP,DF,Athletic Club,32-307,1990,6,5,440,4.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
53,Álex Berenguer,es ESP,FW,Athletic Club,27-163,1995,13,12,"1,026",11.4,3,1,3,0,0,0,0,0.26,0.09,0.35,0.26,0.35
54,Pedro Bigas,es ESP,DF,Elche,32-090,1990,13,12,969,10.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
55,El Bilal Touré,ml MLI,FW,Almería,21-072,2001,8,7,568,6.3,3,1,3,0,0,0,0,0.48,0.16,0.63,0.48,0.63
56,Blanco,es ESP,MF,Cádiz,22-144,2000,3,2,158,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
57,Theo Bongonda,cd COD,MF,Cádiz,27-024,1995,9,5,446,5.0,1,0,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20
58,Wassim Boullif,es ESP,"DF,MF",Espanyol,17-314,2005,3,0,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
59,Yassine Bounou,ma MAR,GK,Sevilla,31-253,1991,12,12,"1,035",11.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
60,Lucas Boyé,ar ARG,FW,Elche,26-289,1996,12,9,730,8.1,1,2,1,0,1,2,1,0.12,0.25,0.37,0.12,0.37
61,Martin Braithwaite,dk DEN,"FW,MF",Espanyol,31-192,1991,9,9,699,7.8,3,1,3,0,0,2,1,0.39,0.13,0.52,0.39,0.52
62,Juan Brandáriz,es ESP,DF,Almería,23-287,1999,7,4,388,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
63,Darko Brašanac,rs SRB,MF,Osasuna,30-305,1992,12,4,485,5.4,1,1,1,0,0,3,0,0.19,0.19,0.37,0.19,0.37
64,Claudio Bravo,cl CHI,GK,Betis,39-245,1983,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
65,Ante Budimir,hr CRO,FW,Osasuna,31-145,1991,11,7,554,6.2,1,0,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16
66,Santiago Bueno,uy URU,DF,Girona,24-035,1998,14,14,"1,260",14.0,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07
67,Sergio Busquets,es ESP,MF,Barcelona,34-151,1988,12,11,906,10.1,0,1,0,0,0,6,1,0.00,0.10,0.10,0.00,0.10
68,Leandro Cabrera,uy URU,DF,Espanyol,31-180,1991,13,13,"1,107",12.3,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00
69,Cala,es ESP,DF,Cádiz,33-018,1989,3,1,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
70,Fernando Calero,es ESP,DF,Espanyol,27-091,1995,12,10,873,9.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
71,Eduardo Camavinga,fr FRA,MF,Real Madrid,20-034,2002,14,5,511,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
72,Sergio Camello,es ESP,FW,Rayo Vallecano,21-307,2001,14,11,934,10.4,2,2,2,0,0,0,0,0.19,0.19,0.39,0.19,0.39
73,Sergio Canales,es ESP,"MF,FW",Betis,31-301,1991,11,9,856,9.5,1,0,1,0,0,4,1,0.11,0.00,0.11,0.11,0.11
74,Ander Capa,es ESP,FW,Athletic Club,30-309,1992,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
75,Étienne Capoue,fr FRA,MF,Villarreal,34-156,1988,10,10,836,9.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
76,Isaac Carcelen,es ESP,DF,Cádiz,29-235,1993,7,5,452,5.0,0,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00
77,,,,,,,,,,,,,,,,,,,,,,
78,Juan Carlos,es ESP,GK,Girona,34-328,1988,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
79,José Carlos Lazo,es ESP,"MF,FW",Almería,26-301,1996,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
80,José Carlos Lazo,es ESP,"MF,FW",Espanyol,26-301,1996,7,0,117,1.3,1,0,1,0,0,0,0,0.77,0.00,0.77,0.77,0.77
81,Carmona,es ESP,DF,Sevilla,20-319,2002,9,4,442,4.9,2,1,2,0,0,4,0,0.41,0.20,0.61,0.41,0.61
82,Yannick Carrasco,be BEL,"DF,FW",Atlético Madrid,29-101,1993,13,8,739,8.2,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12
83,Dani Carvajal,es ESP,DF,Real Madrid,30-337,1992,12,10,872,9.7,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10
84,William Carvalho,pt POR,MF,Betis,30-251,1992,13,12,926,10.3,2,1,2,0,0,3,0,0.19,0.10,0.29,0.19,0.29
85,Casals,es ESP,MF,Girona,17-190,2005,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
86,Casemiro,br BRA,MF,Real Madrid,30-294,1992,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
87,Valentín Castellanos,ar ARG,FW,Girona,24-072,1998,14,14,"1,112",12.4,3,0,3,0,0,4,0,0.24,0.00,0.24,0.24,0.24
88,Samu Castillejo,es ESP,FW,Valencia,27-330,1995,10,8,612,6.8,2,0,2,0,0,4,0,0.29,0.00,0.29,0.29,0.29
89,Catena,es ESP,DF,Rayo Vallecano,28-047,1994,14,14,"1,260",14.0,1,1,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14
90,Edinson Cavani,uy URU,FW,Valencia,35-303,1987,7,7,430,4.8,4,1,2,2,3,0,0,0.84,0.21,1.05,0.42,0.63
91,Dani Ceballos,es ESP,MF,Real Madrid,26-129,1996,8,2,178,2.0,0,1,0,0,0,1,0,0.00,0.51,0.51,0.00,0.51
92,Franco Cervi,ar ARG,MF,Celta Vigo,28-202,1994,13,12,"1,017",11.3,0,2,0,0,0,0,1,0.00,0.18,0.18,0.00,0.18
93,Pep Chavarría,es ESP,"FW,DF",Rayo Vallecano,24-248,1998,5,0,66,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
94,Andreas Christensen,dk DEN,DF,Barcelona,26-248,1996,5,4,318,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
95,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,23-206,1999,13,5,538,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17
96,Víctor Chust,es ESP,DF,Cádiz,22-284,2000,11,9,851,9.5,1,0,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11
97,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,28-273,1994,13,6,643,7.1,1,0,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14
98,Carlos Clerc,es ESP,DF,Elche,30-296,1992,10,10,862,9.6,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10
99,Álex Collado,es ESP,"MF,FW",Elche,23-236,1999,8,8,514,5.7,1,1,1,0,0,0,0,0.18,0.18,0.35,0.18,0.35
100,Eray Cömert,ch SUI,DF,Valencia,24-313,1998,11,10,871,9.7,1,0,1,0,0,3,1,0.10,0.00,0.10,0.10,0.10
101,Santi Comesaña,es ESP,MF,Rayo Vallecano,26-070,1996,12,8,728,8.1,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12
102,Copete,es ESP,DF,Mallorca,23-065,1999,12,12,997,11.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
103,,,,,,,,,,,,,,,,,,,,,,
104,Francis Coquelin,fr FRA,MF,Villarreal,31-215,1991,11,6,523,5.8,1,0,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17
105,Jesús Corona,mx MEX,FW,Sevilla,29-342,1993,1,1,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
106,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,27-280,1995,14,4,513,5.7,3,0,3,0,0,1,0,0.53,0.00,0.53,0.53,0.53
107,Thierry Correia,pt POR,DF,Valencia,23-280,1999,14,14,"1,211",13.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
108,Jaume Costa,es ESP,DF,Mallorca,34-271,1988,11,11,964,10.7,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09
109,Samu Costa,pt POR,MF,Almería,22-017,2000,11,8,768,8.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
110,Thibaut Courtois,be BEL,GK,Real Madrid,30-217,1992,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
111,Yan Couto,br BRA,"DF,FW",Girona,20-194,2002,10,5,506,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
112,Juan Cruz Armada,es ESP,DF,Osasuna,30-139,1992,13,11,"1,006",11.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
113,Juan Cruz,es ESP,FW,Betis,22-233,2000,5,1,174,1.9,1,0,1,0,0,0,0,0.52,0.00,0.52,0.52,0.52
114,Jorge Cuenca,es ESP,DF,Villarreal,23-027,1999,2,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
115,Braian Cufré,ar ARG,DF,Mallorca,25-364,1996,3,2,194,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
116,Matheus Cunha,br BRA,"FW,MF",Atlético Madrid,23-201,1999,11,2,377,4.2,0,2,0,0,0,2,0,0.00,0.48,0.48,0.00,0.48
117,Curro,es ESP,MF,Almería,26-345,1996,2,0,43,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
118,Sergi Darder,es ESP,MF,Espanyol,28-357,1993,14,14,"1,233",13.7,2,1,2,0,0,2,0,0.15,0.07,0.22,0.15,0.22
119,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,28-204,1994,12,9,670,7.4,1,1,1,0,0,2,0,0.13,0.13,0.27,0.13,0.27
120,Alberto Del Moral,es ESP,MF,Villarreal,22-147,2000,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
121,Thomas Delaney,dk DEN,MF,Sevilla,31-102,1991,8,2,309,3.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
122,Fran Delgado,es ESP,DF,Betis,21-156,2001,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
123,Ousmane Dembélé,fr FRA,FW,Barcelona,25-213,1997,14,11,866,9.6,4,5,4,0,0,3,0,0.42,0.52,0.94,0.42,0.94
124,Mouctar Diakhaby,gn GUI,DF,Valencia,25-360,1996,10,10,791,8.8,2,0,2,0,0,5,1,0.23,0.00,0.23,0.23,0.23
125,Mamady Diarra,ml MLI,"MF,DF",Cádiz,22-171,2000,2,1,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
126,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,28-354,1993,13,13,"1,170",13.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
127,Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,21-063,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
128,Djené,tg TOG,DF,Getafe,30-348,1991,12,12,"1,002",11.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
129,,,,,,,,,,,,,,,,,,,,,,
130,Marko Dmitrović,rs SRB,GK,Sevilla,30-324,1992,3,2,225,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
131,Kasper Dolberg,dk DEN,FW,Sevilla,25-069,1997,4,2,197,2.2,0,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46
132,Carlos Dominguez,es ESP,MF,Celta Vigo,21-306,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
133,John Donald,es ESP,DF,Elche,22-106,2000,3,2,150,1.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
134,Domingos Duarte,pt POR,DF,Getafe,27-279,1995,13,13,"1,125",12.5,0,2,0,0,0,5,0,0.00,0.16,0.16,0.00,0.16
135,Pablo Durán,es ESP,"MF,DF",Celta Vigo,21-323,2001,3,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
136,Hugo Duro,es ESP,FW,Valencia,23-034,1999,10,4,391,4.3,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23
137,Íñigo Eguaras,es ESP,MF,Almería,30-282,1992,11,6,495,5.5,1,1,1,0,0,2,0,0.18,0.18,0.36,0.18,0.36
138,Aritz Elustondo,es ESP,DF,Real Sociedad,28-261,1994,11,7,618,6.9,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
139,Rodrigo Ely,br BRA,DF,Almería,29-041,1993,14,14,"1,233",13.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
140,Adri Embarba,es ESP,"FW,MF",Almería,30-221,1992,9,5,423,4.7,1,3,1,0,0,4,1,0.21,0.64,0.85,0.21,0.85
141,Adri Embarba,es ESP,FW,Espanyol,30-221,1992,1,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
142,Youssef En-Nesyri,ma MAR,"FW,MF",Sevilla,25-196,1997,10,2,362,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
143,Sergio Escudero,es ESP,DF,Valladolid,33-103,1989,9,9,709,7.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
144,Alfonso Espino,uy URU,DF,Cádiz,30-343,1992,14,13,"1,142",12.7,0,3,0,0,0,3,0,0.00,0.24,0.24,0.00,0.24
145,Bernardo Espinosa,co COL,DF,Girona,33-156,1989,8,6,499,5.5,0,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18
146,Edu Expósito,es ESP,MF,Espanyol,26-135,1996,13,10,772,8.6,2,2,2,0,0,0,0,0.23,0.23,0.47,0.23,0.47
147,Nicolás Ezequiel Fernández,ar ARG,"MF,DF",Elche,22-337,2000,8,2,294,3.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
148,Abdessamad Ezzalzouli,ma MAR,"MF,FW",Osasuna,20-362,2001,8,4,313,3.5,0,2,0,0,0,1,0,0.00,0.58,0.58,0.00,0.58
149,Radamel Falcao,co COL,"FW,MF",Rayo Vallecano,36-307,1986,12,3,404,4.5,2,0,1,1,1,2,0,0.45,0.00,0.45,0.22,0.22
150,Fali,es ESP,"DF,MF",Cádiz,29-124,1993,8,7,556,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
151,Ansu Fati,es ESP,FW,Barcelona,20-044,2002,14,3,469,5.2,3,3,3,0,0,0,0,0.58,0.58,1.15,0.58,1.15
152,Zouhair Feddal,ma MAR,DF,Valladolid,33-347,1989,7,4,349,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
153,Nabil Fekir,fr FRA,"MF,FW",Betis,29-149,1993,8,6,426,4.7,1,1,1,0,0,4,1,0.21,0.21,0.42,0.21,0.42
154,Felipe,br BRA,DF,Atlético Madrid,33-212,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
155,,,,,,,,,,,,,,,,,,,,,,
156,Luiz Felipe,it ITA,DF,Betis,25-267,1997,7,6,414,4.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
157,João Félix,pt POR,FW,Atlético Madrid,23-034,1999,12,5,513,5.7,3,3,3,0,0,5,0,0.53,0.53,1.05,0.53,1.05
158,Kiko Femenía,es ESP,DF,Villarreal,31-315,1991,11,9,847,9.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
159,Aitor Fernández,es ESP,GK,Osasuna,31-225,1991,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
160,Álex Fernández,es ESP,"MF,FW",Cádiz,30-060,1992,12,8,699,7.8,2,0,2,0,0,0,0,0.26,0.00,0.26,0.26,0.26
161,Álvaro Fernández,es ESP,GK,Espanyol,24-245,1998,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
162,Carlos Fernández,es ESP,FW,Real Sociedad,26-206,1996,7,4,232,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
163,Federico Fernández,ar ARG,DF,Elche,33-296,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
164,Joaquín Fernández,es ESP,DF,Valladolid,26-197,1996,12,10,955,10.6,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09
165,Fernando,es ESP,GK,Almería,32-187,1990,13,13,"1,170",13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
166,Fernando,br BRA,"MF,DF",Sevilla,35-142,1987,6,6,495,5.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
167,Fidel,es ESP,"MF,FW",Elche,33-048,1989,4,2,165,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
168,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,29-266,1993,9,2,287,3.2,0,1,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31
169,Juan Foyth,ar ARG,DF,Villarreal,24-336,1998,4,3,248,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
170,Iván Fresneda,es ESP,DF,Valladolid,18-077,2004,6,4,468,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
171,Javi Galán,es ESP,DF,Celta Vigo,28-025,1994,14,14,"1,255",13.9,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07
172,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,29-130,1993,12,10,854,9.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
173,Aleix García,es ESP,MF,Girona,25-169,1997,14,14,"1,245",13.8,0,3,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22
174,Álvaro García,es ESP,FW,Rayo Vallecano,30-048,1992,13,13,"1,095",12.2,3,1,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33
175,Dani García,es ESP,MF,Athletic Club,32-204,1990,8,4,363,4.0,0,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25
176,David García,es ESP,DF,Osasuna,28-303,1994,12,12,"1,039",11.5,1,0,1,0,0,6,1,0.09,0.00,0.09,0.09,0.09
177,Eric García,es ESP,DF,Barcelona,21-339,2001,9,8,608,6.8,1,0,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15
178,Francisco Garcia,es ESP,DF,Rayo Vallecano,23-122,1999,14,14,"1,259",14.0,0,2,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14
179,Raúl García,es ESP,"MF,FW",Athletic Club,36-156,1986,13,2,355,3.9,1,1,1,0,0,1,0,0.25,0.25,0.51,0.25,0.51
180,Rubén García,es ESP,MF,Osasuna,29-153,1993,11,4,425,4.7,1,2,1,0,0,2,0,0.21,0.42,0.64,0.21,0.64
181,,,,,,,,,,,,,,,,,,,,,,
182,Unai García,es ESP,DF,Osasuna,30-314,1992,13,13,"1,116",12.4,0,1,0,0,0,4,1,0.00,0.08,0.08,0.00,0.08
